signal_time,entry_time,exit_time,r_net,market_regime,vol_regime
2022-04-21 10:00:00+00:00,2022-04-21 11:00:00+00:00,2022-04-21 15:00:00+00:00,0.363508005467057,BULL,MID
2022-06-24 11:00:00+00:00,2022-06-24 12:00:00+00:00,2022-06-24 23:00:00+00:00,0.6605176452128818,BULL,HIGH
2022-06-25 21:00:00+00:00,2022-06-25 22:00:00+00:00,2022-06-26 02:00:00+00:00,-0.23921683204248212,BULL,HIGH
2022-06-26 06:00:00+00:00,2022-06-26 07:00:00+00:00,2022-06-26 11:00:00+00:00,-0.15922343769712544,BULL,MID
2022-07-06 18:00:00+00:00,2022-07-06 19:00:00+00:00,2022-07-06 23:00:00+00:00,0.9174871335117328,BULL,HIGH
2022-07-08 01:00:00+00:00,2022-07-08 02:00:00+00:00,2022-07-08 06:00:00+00:00,-0.40889096849017054,BULL,MID
2022-07-15 18:00:00+00:00,2022-07-15 19:00:00+00:00,2022-07-15 22:00:00+00:00,0.3566017694894967,BULL,HIGH
2022-07-24 05:00:00+00:00,2022-07-24 06:00:00+00:00,2022-07-24 17:00:00+00:00,-0.20504930689832168,BULL,HIGH
2022-07-28 02:00:00+00:00,2022-07-28 03:00:00+00:00,2022-07-28 07:00:00+00:00,-0.32209070266179707,BULL,HIGH
2022-08-08 05:00:00+00:00,2022-08-08 06:00:00+00:00,2022-08-08 08:00:00+00:00,1.1981728936702007,BULL,MID
2022-08-10 21:00:00+00:00,2022-08-10 22:00:00+00:00,2022-08-11 09:00:00+00:00,0.5877522672466603,BULL,HIGH
2022-08-11 12:00:00+00:00,2022-08-11 13:00:00+00:00,2022-08-11 17:00:00+00:00,-0.48983431884698925,BULL,MID
2022-08-14 07:00:00+00:00,2022-08-14 08:00:00+00:00,2022-08-14 12:00:00+00:00,-0.6011496170169912,BULL,MID
2022-09-09 12:00:00+00:00,2022-09-09 13:00:00+00:00,2022-09-09 17:00:00+00:00,-0.23698190050716783,BULL,MID
2022-10-23 15:00:00+00:00,2022-10-23 16:00:00+00:00,2022-10-23 22:00:00+00:00,1.1101904255550847,BULL,LOW
2022-10-26 07:00:00+00:00,2022-10-26 08:00:00+00:00,2022-10-26 14:00:00+00:00,1.2486926396026274,BULL,MID
2022-11-26 01:00:00+00:00,2022-11-26 02:00:00+00:00,2022-11-26 17:00:00+00:00,-0.3169172745203331,BULL,MID
2022-11-29 20:00:00+00:00,2022-11-29 21:00:00+00:00,2022-11-30 00:00:00+00:00,1.1833196145245464,BULL,MID
2022-12-02 11:00:00+00:00,2022-12-02 12:00:00+00:00,2022-12-02 13:00:00+00:00,-1.0,BULL,MID
2022-12-14 12:00:00+00:00,2022-12-14 13:00:00+00:00,2022-12-14 17:00:00+00:00,0.3090730509315888,BULL,LOW
2023-01-04 01:00:00+00:00,2023-01-04 02:00:00+00:00,2023-01-04 03:00:00+00:00,1.1104512894640572,BULL,LOW
2023-01-09 15:00:00+00:00,2023-01-09 16:00:00+00:00,2023-01-09 21:00:00+00:00,-0.5015932136832849,BULL,MID
2023-01-13 20:00:00+00:00,2023-01-13 21:00:00+00:00,2023-01-13 21:00:00+00:00,1.1899090109002288,BULL,MID
2023-01-20 16:00:00+00:00,2023-01-20 17:00:00+00:00,2023-01-20 20:00:00+00:00,1.2223019528585684,BULL,MID
2023-01-21 09:00:00+00:00,2023-01-21 10:00:00+00:00,2023-01-21 10:00:00+00:00,-1.0,BULL,MID
2023-01-22 17:00:00+00:00,2023-01-22 18:00:00+00:00,2023-01-22 20:00:00+00:00,-0.9999999999999999,BULL,MID
2023-03-16 19:00:00+00:00,2023-03-16 20:00:00+00:00,2023-03-17 00:00:00+00:00,-0.17616549806158818,BULL,MID
2023-03-17 01:00:00+00:00,2023-03-17 02:00:00+00:00,2023-03-17 11:00:00+00:00,0.956786161186872,BULL,MID
2023-03-17 21:00:00+00:00,2023-03-17 22:00:00+00:00,2023-03-18 01:00:00+00:00,0.9688051038896165,BULL,MID
2023-03-19 16:00:00+00:00,2023-03-19 17:00:00+00:00,2023-03-19 22:00:00+00:00,-0.47196474967610286,BULL,MID
2023-04-04 09:00:00+00:00,2023-04-04 10:00:00+00:00,2023-04-04 11:00:00+00:00,1.165944746612342,TRANSITION,MID
2023-04-05 00:00:00+00:00,2023-04-05 01:00:00+00:00,2023-04-06 00:00:00+00:00,-0.1261032183832801,BULL,MID
2023-05-04 10:00:00+00:00,2023-05-04 11:00:00+00:00,2023-05-04 12:00:00+00:00,-1.0,TRANSITION,MID
2023-05-05 01:00:00+00:00,2023-05-05 02:00:00+00:00,2023-05-05 14:00:00+00:00,0.9247184597340764,TRANSITION,MID
2023-06-21 14:00:00+00:00,2023-06-21 15:00:00+00:00,2023-06-21 16:00:00+00:00,1.2001397213455796,BULL,MID
2023-06-25 03:00:00+00:00,2023-06-25 04:00:00+00:00,2023-06-25 13:00:00+00:00,0.33977747378491163,BULL,LOW
2023-09-15 21:00:00+00:00,2023-09-15 22:00:00+00:00,2023-09-16 08:00:00+00:00,0.2991199122555886,BULL,LOW
2023-09-18 10:00:00+00:00,2023-09-18 11:00:00+00:00,2023-09-18 14:00:00+00:00,0.3278287823777039,BULL,LOW
2023-09-28 10:00:00+00:00,2023-09-28 11:00:00+00:00,2023-09-29 07:00:00+00:00,1.137117871466935,BULL,LOW
2023-10-21 14:00:00+00:00,2023-10-21 15:00:00+00:00,2023-10-22 02:00:00+00:00,0.32668262298452966,BULL,LOW
2023-10-22 05:00:00+00:00,2023-10-22 06:00:00+00:00,2023-10-22 10:00:00+00:00,-0.6571634337621594,BULL,LOW
2023-11-06 12:00:00+00:00,2023-11-06 13:00:00+00:00,2023-11-06 18:00:00+00:00,-0.27496765753625907,BULL,MID
2023-11-09 02:00:00+00:00,2023-11-09 03:00:00+00:00,2023-11-09 14:00:00+00:00,1.197059617078377,BULL,MID
2023-12-10 20:00:00+00:00,2023-12-10 21:00:00+00:00,2023-12-11 01:00:00+00:00,-0.9199993181664367,BULL,LOW
2023-12-27 23:00:00+00:00,2023-12-28 00:00:00+00:00,2023-12-28 00:00:00+00:00,1.2091771607272739,BULL,MID
2024-01-09 21:00:00+00:00,2024-01-09 22:00:00+00:00,2024-01-10 09:00:00+00:00,0.9723093866801503,TRANSITION,MID
2024-01-10 09:00:00+00:00,2024-01-10 10:00:00+00:00,2024-01-10 12:00:00+00:00,-0.9999999999999998,BULL,MID
2024-01-10 15:00:00+00:00,2024-01-10 16:00:00+00:00,2024-01-10 23:00:00+00:00,0.9374955513948817,BULL,HIGH
2024-01-11 14:00:00+00:00,2024-01-11 15:00:00+00:00,2024-01-11 15:00:00+00:00,-1.0,BULL,HIGH
2024-01-12 11:00:00+00:00,2024-01-12 12:00:00+00:00,2024-01-12 16:00:00+00:00,0.3244999235275322,BULL,MID
2024-01-30 15:00:00+00:00,2024-01-30 16:00:00+00:00,2024-01-30 23:00:00+00:00,0.36200086241050067,BULL,MID
2024-02-07 16:00:00+00:00,2024-02-07 17:00:00+00:00,2024-02-08 15:00:00+00:00,0.9327417499502604,BULL,MID
2024-02-08 15:00:00+00:00,2024-02-08 16:00:00+00:00,2024-02-08 16:00:00+00:00,-1.0,BULL,LOW
2024-02-09 02:00:00+00:00,2024-02-09 03:00:00+00:00,2024-02-09 12:00:00+00:00,0.9174310305080137,BULL,MID
2024-02-19 17:00:00+00:00,2024-02-19 18:00:00+00:00,2024-02-20 03:00:00+00:00,-0.32408577545371636,BULL,MID
2024-02-22 20:00:00+00:00,2024-02-22 21:00:00+00:00,2024-02-23 01:00:00+00:00,-0.3174073963893779,BULL,MID
2024-02-25 01:00:00+00:00,2024-02-25 02:00:00+00:00,2024-02-25 04:00:00+00:00,0.32994401773857834,BULL,LOW
2024-02-25 14:00:00+00:00,2024-02-25 15:00:00+00:00,2024-02-25 19:00:00+00:00,-0.09179542142248127,BULL,MID
2024-02-25 19:00:00+00:00,2024-02-25 20:00:00+00:00,2024-02-26 03:00:00+00:00,0.361695893621338,BULL,MID
2024-02-27 01:00:00+00:00,2024-02-27 02:00:00+00:00,2024-02-28 01:00:00+00:00,0.2691610795318334,BULL,MID
2024-03-04 15:00:00+00:00,2024-03-04 16:00:00+00:00,2024-03-05 03:00:00+00:00,0.9638300415171183,BULL,MID
2024-03-05 03:00:00+00:00,2024-03-05 04:00:00+00:00,2024-03-05 16:00:00+00:00,0.39077184408605026,BULL,MID
2024-03-06 08:00:00+00:00,2024-03-06 09:00:00+00:00,2024-03-06 20:00:00+00:00,0.12227614683441719,BULL,HIGH
2024-03-07 17:00:00+00:00,2024-03-07 18:00:00+00:00,2024-03-07 22:00:00+00:00,0.37432046105549244,BULL,MID
2024-03-08 13:00:00+00:00,2024-03-08 14:00:00+00:00,2024-03-08 16:00:00+00:00,-1.0,BULL,MID
2024-04-08 07:00:00+00:00,2024-04-08 08:00:00+00:00,2024-04-08 08:00:00+00:00,1.2004441459506459,BULL,MID
2024-04-08 18:00:00+00:00,2024-04-08 19:00:00+00:00,2024-04-09 08:00:00+00:00,-0.5391206487252271,BULL,MID
2024-05-06 05:00:00+00:00,2024-05-06 06:00:00+00:00,2024-05-06 10:00:00+00:00,0.35774530266174676,BULL,MID
2024-05-18 10:00:00+00:00,2024-05-18 11:00:00+00:00,2024-05-18 15:00:00+00:00,-0.6905792844283056,BULL,MID
2024-05-20 16:00:00+00:00,2024-05-20 17:00:00+00:00,2024-05-20 19:00:00+00:00,1.1951875139818058,BULL,MID
2024-05-21 10:00:00+00:00,2024-05-21 11:00:00+00:00,2024-05-21 13:00:00+00:00,0.9532635139597841,BULL,MID
2024-05-27 15:00:00+00:00,2024-05-27 16:00:00+00:00,2024-05-27 19:00:00+00:00,-1.0,BULL,MID
2024-07-13 09:00:00+00:00,2024-07-13 10:00:00+00:00,2024-07-13 14:00:00+00:00,-0.2724314109439595,BULL,MID
2024-07-13 22:00:00+00:00,2024-07-13 23:00:00+00:00,2024-07-15 00:00:00+00:00,1.1380460926120206,BULL,LOW
2024-07-20 17:00:00+00:00,2024-07-20 18:00:00+00:00,2024-07-21 05:00:00+00:00,-0.5171535691471686,BULL,LOW
2024-08-13 13:00:00+00:00,2024-08-13 14:00:00+00:00,2024-08-13 19:00:00+00:00,0.3681652161879846,TRANSITION,MID
2024-09-19 16:00:00+00:00,2024-09-19 17:00:00+00:00,2024-09-20 04:00:00+00:00,0.9418613502651964,BULL,MID
2024-09-23 15:00:00+00:00,2024-09-23 16:00:00+00:00,2024-09-23 22:00:00+00:00,-0.46323131966998765,BULL,MID
2024-09-27 14:00:00+00:00,2024-09-27 15:00:00+00:00,2024-09-28 05:00:00+00:00,0.3463417807826741,BULL,MID
2024-10-14 12:00:00+00:00,2024-10-14 13:00:00+00:00,2024-10-14 14:00:00+00:00,1.188732430189872,BULL,MID
2024-10-17 01:00:00+00:00,2024-10-17 02:00:00+00:00,2024-10-17 10:00:00+00:00,-0.9999999999999998,BULL,MID
2024-10-18 15:00:00+00:00,2024-10-18 16:00:00+00:00,2024-10-18 22:00:00+00:00,-0.3087225119608019,BULL,MID
2024-10-29 16:00:00+00:00,2024-10-29 17:00:00+00:00,2024-10-29 20:00:00+00:00,-1.0,BULL,MID
2024-11-07 15:00:00+00:00,2024-11-07 16:00:00+00:00,2024-11-08 00:00:00+00:00,0.9589314480963796,BULL,MID
2024-11-25 07:00:00+00:00,2024-11-25 08:00:00+00:00,2024-11-25 14:00:00+00:00,0.38266332362287614,BULL,MID
2024-11-27 14:00:00+00:00,2024-11-27 15:00:00+00:00,2024-11-27 23:00:00+00:00,0.9735106150957709,BULL,MID
2024-11-29 13:00:00+00:00,2024-11-29 14:00:00+00:00,2024-11-29 18:00:00+00:00,-0.38475503191234084,BULL,MID
2024-11-30 03:00:00+00:00,2024-11-30 04:00:00+00:00,2024-12-01 02:00:00+00:00,0.3791794042010004,BULL,MID
2024-12-04 07:00:00+00:00,2024-12-04 08:00:00+00:00,2024-12-04 15:00:00+00:00,0.9619938643906757,BULL,MID
2024-12-13 14:00:00+00:00,2024-12-13 15:00:00+00:00,2024-12-13 20:00:00+00:00,-0.4386165792563197,BULL,MID
2025-01-03 13:00:00+00:00,2025-01-03 14:00:00+00:00,2025-01-03 15:00:00+00:00,0.9230044379054035,BULL,MID
2025-01-04 12:00:00+00:00,2025-01-04 13:00:00+00:00,2025-01-05 10:00:00+00:00,-0.4350221997179739,BULL,MID
2025-01-06 14:00:00+00:00,2025-01-06 15:00:00+00:00,2025-01-06 18:00:00+00:00,0.21198536510694538,BULL,MID
2025-01-17 08:00:00+00:00,2025-01-17 09:00:00+00:00,2025-01-18 03:00:00+00:00,0.3825297963909768,BULL,MID
2025-02-23 06:00:00+00:00,2025-02-23 07:00:00+00:00,2025-02-23 10:00:00+00:00,0.35604738670615954,BULL,MID
2025-04-23 02:00:00+00:00,2025-04-23 03:00:00+00:00,2025-04-23 14:00:00+00:00,0.27615215274187066,BULL,HIGH
2025-04-25 09:00:00+00:00,2025-04-25 10:00:00+00:00,2025-04-25 14:00:00+00:00,-0.4075454862960156,BULL,MID
2025-04-29 06:00:00+00:00,2025-04-29 07:00:00+00:00,2025-04-29 22:00:00+00:00,-0.6460279719811605,BULL,MID
2025-05-02 14:00:00+00:00,2025-05-02 15:00:00+00:00,2025-05-02 23:00:00+00:00,-0.4085453992328105,BULL,MID
2025-05-09 06:00:00+00:00,2025-05-09 07:00:00+00:00,2025-05-09 07:00:00+00:00,1.1280628574853906,BULL,HIGH
2025-05-21 16:00:00+00:00,2025-05-21 17:00:00+00:00,2025-05-21 17:00:00+00:00,-1.0,BULL,MID
2025-05-22 03:00:00+00:00,2025-05-22 04:00:00+00:00,2025-05-22 15:00:00+00:00,0.39021209200381457,BULL,HIGH
2025-06-04 03:00:00+00:00,2025-06-04 04:00:00+00:00,2025-06-04 14:00:00+00:00,-0.23295979371268713,BULL,MID
2025-06-04 15:00:00+00:00,2025-06-04 16:00:00+00:00,2025-06-04 20:00:00+00:00,-0.6182659183143703,BULL,MID
2025-06-11 12:00:00+00:00,2025-06-11 13:00:00+00:00,2025-06-11 15:00:00+00:00,0.9305041029254109,BULL,MID
2025-06-26 01:00:00+00:00,2025-06-26 02:00:00+00:00,2025-06-26 09:00:00+00:00,0.3671411197545692,TRANSITION,MID
2025-07-03 13:00:00+00:00,2025-07-03 14:00:00+00:00,2025-07-03 16:00:00+00:00,-1.0000000000000002,BULL,MID
2025-07-08 13:00:00+00:00,2025-07-08 14:00:00+00:00,2025-07-09 03:00:00+00:00,0.3572519716374279,BULL,MID
2025-07-16 13:00:00+00:00,2025-07-16 14:00:00+00:00,2025-07-16 16:00:00+00:00,0.9419355495308888,BULL,MID
2025-07-27 10:00:00+00:00,2025-07-27 11:00:00+00:00,2025-07-27 20:00:00+00:00,0.3571904253071571,BULL,MID
2025-08-07 08:00:00+00:00,2025-08-07 09:00:00+00:00,2025-08-07 10:00:00+00:00,1.2014581203170809,BULL,MID
2025-08-09 04:00:00+00:00,2025-08-09 05:00:00+00:00,2025-08-09 05:00:00+00:00,1.1923428202901192,BULL,MID
2025-08-24 14:00:00+00:00,2025-08-24 15:00:00+00:00,2025-08-24 17:00:00+00:00,1.1759537679110215,BULL,MID
2025-09-12 16:00:00+00:00,2025-09-12 17:00:00+00:00,2025-09-12 20:00:00+00:00,0.9160868442756451,BULL,MID
2025-10-02 15:00:00+00:00,2025-10-02 16:00:00+00:00,2025-10-03 03:00:00+00:00,0.917669367887058,BULL,MID
2025-10-27 16:00:00+00:00,2025-10-27 17:00:00+00:00,2025-10-27 21:00:00+00:00,-1.0,BULL,MID
2025-11-28 08:00:00+00:00,2025-11-28 09:00:00+00:00,2025-11-28 13:00:00+00:00,-0.42715496615465404,BULL,MID
2025-12-10 17:00:00+00:00,2025-12-10 18:00:00+00:00,2025-12-10 20:00:00+00:00,0.3686594921334736,BULL,MID
